Id BDTNS,Id Line,Part text,Line,Text,PN/GN as attested,Id PN/GN as attested,PN/GN Normalized,Id PN/GN normalized,PN or GN,Seal,Date
163113,L2386934,r.ii,15,[n]+40 A-bi!-si2-im-ti,A-bi-si2-im-ti,OV_000013,A-bi-si2-im-ti,OS_000013,PN,,
162989,L2706577,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162990,L2706597,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162968,L2706205,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162970,L2706243,s.,6,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162991,L2706619,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162935,L2705838,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162975,L2706318,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162937,L2705877,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162938,L2705898,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162976,L2706341,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162977,L2706363,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162978,L2706383,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162979,L2706410,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162980,L2706432,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162981,L2706462,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162940,L2705919,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162982,L2706484,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162983,L2706509,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162984,L2706536,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162996,L2706719,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162997,L2706745,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163009,L2706937,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163003,L2706846,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163016,L2707011,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162999,L2706792,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163010,L2706964,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162988,L2703191,s.ii,4,[dumu A-bi2-a],A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162995,L2706692,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162998,L2706768,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163011,L2706987,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162985,L2706558,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163004,L2706869,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162994,L2706661,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163119,L2707239,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163120,L2707257,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163491,L2709963,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163492,L2709988,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163456,L2717793,s.2,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163493,L2710003,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163494,L2710018,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163495,L2710036,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163177,L2707483,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163468,L2709734,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163703,L2712816,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163657,L2712040,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163849,L2715284,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163851,L2715298,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163698,L2712709,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163852,L2715316,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163754,L2713739,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163757,L2713812,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163760,L2713870,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163699,L2712734,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163855,L2715359,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163764,L2713970,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163857,L2715389,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163860,L2715437,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163658,L2712058,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163859,L2715410,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163700,L2712753,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163660,L2712095,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163701,L2712781,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163661,L2712116,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163662,L2712137,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163861,L2715459,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
164088,L2717279,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163631,L2711656,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163619,L2711485,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163632,L2711670,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163630,L2711641,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163615,L2711399,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163614,L2711364,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163640,L2711799,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163633,L2711684,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163646,L2711872,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163641,L2711816,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163621,L2711500,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163622,L2711515,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163616,L2711416,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163623,L2711538,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163624,L2711555,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163617,L2711437,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163625,L2711583,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163634,L2711704,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
164080,L2717213,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163626,L2711607,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163635,L2711722,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163627,L2711625,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163647,L2711890,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163548,L2710505,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
164144,L2598416,s.ii,4,dumu A-[bi2-a],A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163603,L2711214,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
162992,L2706638,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163643,L2711848,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163636,L2711739,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163642,L2711833,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163618,L2711470,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163648,L2711906,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163498,L2710052,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163474,L2709826,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163501,L2710092,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163502,L2710109,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163473,L2709794,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163475,L2709853,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163503,L2710128,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163463,L2709656,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163504,L2710146,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163505,L2710161,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163484,L2709888,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163485,L2709904,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163486,L2709918,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163469,L2709750,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163487,L2709934,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
164083,L2717249,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
164076,L2717174,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163649,L2717814,s.ii,4,dumu A-bi2-a,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163650,L2711933,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
163651,L2711947,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
170089,L2717617,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
170080,L2717438,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
170081,L2717454,s.,5,dumu A-bi2-[a arad2-zu],A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
192051,L1222933,o.,4,ki A-bi2-a-ta,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,,
192055,L1223186,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
192059,L1223464,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
192062,L1223582,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
192063,L1223596,s.,4,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
192065,L1223661,s.,5,dumu A-bi2-a arad2-zu,A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
192068,L1223723,s.ii,4,dumu A-bi2-[a],A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
193332,L1302246,s.ii,4,dumu A-bi2-[a],A-bi2-a,OV_000014,A-bi2-a,OS_000014,PN,Seal Legend,
192073,L1223802,o.,4,giri3 A-bi2-a-bi-ih ra2-gaba,A-bi2-a-bi-ih,OV_000015,A-bi2-a-bi-ih,OS_000015,PN,,
162878,L784322,o.,5,A-bi2-a-ti nu-banda3 gu4,A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162879,L784341,o.,2,ugula A-bi2-a-ti nu-banda3 gu4,A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162880,L784369,o.,1,[2 guruš ug]ula A-bi2-[a-ti] / [nu-banda3 gu4],A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162892,L784911,o.,1,[3 guruš] ugula A-bi2-a-ti / nu-banda3 gu4,A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162881,L784401,o.,1,[2 guru]š A-bi2-a-[ti nu-banda3 gu4],A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162883,L784461,o.,1,[3] guruš A-bi2-a-[ti nu-banda3 gu4],A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162884,L784503,o.,1,[n guruš A-bi2-a-ti nu-banda3 gu4],A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162885,L784547,o.,2,[ugula A-bi2-a-ti nu-banda3 gu4],A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162886,L784619,r.,7,[za]h3 A-da-lal3 A-bi2-a-ti / [nu-banda3 gu4],A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162887,L784627,o.,1,[2 guruš A-b]i2-a-ti n[u-banda3 gu4],A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162888,L784676,o.i,1,[n guruš A-b]i2-a-[t]i nu-/banda3 gu4,A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162888,L784736,o.iii,18,"[A-b]i2!-a-ti nu-ba[nda3 gu4] (=""b]i"")",A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162911,L2386238,r.,12,zah3 A-da-lal3 A-[bi2-a-ti nu-banda3 gu4],A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162889,L784793,r.,10,z[a]h3 A-da-lal3 A-[bi2-a-ti nu-banda3 gu4],A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162890,L784804,o.,1,5 guruš [A-bi2-a-ti nu]-/[banda3 gu4],A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162890,L784845,r.,14,[zah3 A]-da-lal3 A-b[i2-a-t]i nu-[banda3 gu4],A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162891,L2386176,r.,19,1 guruš tu-ra A-bi2-a-ti nu-banda3 gu4,A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
162915,L785456,o.,5,al-tar e2 A-bi2-a-ti,A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
190130,L1223126,t.o.,5,A-bi2-a-ti / i3-dab5,A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
190130,L1223138,e.o.,5,A-bi2-a-ti i3-dab5,A-bi2-a-ti,OV_000016,A-bi2-a-ti,OS_000016,PN,,
163080,L787553,o.i,14,[n] A-bi2-DU10,A-bi2-DU10,OV_000017,A-bi2-DU10,OS_000017,PN,,
163102,L2386478,o.i,26,720 A-bi2-DU10,A-bi2-DU10,OV_000017,A-bi2-DU10,OS_000017,PN,,
163093,L788258,r.ii,14,1420 [A]-bi2-i3-li2,A-bi2-i3-li2,OV_000018,A-bi2-i3-li2,OS_000018,PN,,
190123,L1223529,o.,3,ki [A?]-bi2-ma-ta,A-bi2-ma-ta,OV_000019,A-bi2-ma-ta,OS_000019,PN,,
163113,L2386887,r.i,10,720 a-bi2-si2-im-t[i],A-bi2-si2-im-ti,OV_000020,A-bi2-si2-im-ti,OS_000020,PN,,
162869,L784042,r.,8,e2 A-bu-DU10 du3-a,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
162870,L784091,r.,2,e2 A-bu-DU10 du3-a,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
162881,L784412,o.,12,1 gur[uš] A-bu-DU10,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
162882,L784444,o.,8',[A]-bu-DU10 [nu-banda3],A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
162883,L784475,o.,15,A-bu-DU10 nu-ba[nda3],A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
162884,L784519,o.,17,nu-banda3 A-bu-D[U10],A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
162887,L784644,o.,18,3 guruš šidim A-bu-DU10 nu-banda3,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
162888,L784737,o.iii,19,[z]ah3 A-bu-D[U10],A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
162891,L2386177,r.,20,zah3 A-bu-DU10 Puzur4-a-bi nu-banda3 gu4,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
163081,L787680,o.,9,840 A-bu-[DU10],A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
163083,L787738,o.i,28,260 A-bu-DU10,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
163102,L2386502,o.ii,15',360 A-bu-DU10,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
163064,L787009,o.,2,{kuš}a-ga2-la2 keš2-ra2 / guruš nam-60 A-b[u]-DU10 / u4 E2-{d}Šu-{d}Suen{ki}-še3 / i-[r]e-ša-a,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
163065,L787026,o.,9,[A-b]u-DU10 [erased sign] šu-i maškim,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
163287,L2708392,o.,3,A-bu-DU10 maškim,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
163287,L2708399,s.,1,A-bu-DU10 x,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,Seal Legend,
163414,L792298,o.,10,A-bu-DU10 nu-banda3 [gu4],A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
164028,L2716725,e.r.,3,igi A-bu-DU10 šu-i,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
164028,L2716739,t.r.,4,igi A-bu-DU10 šu-i,A-bu-DU10,OV_000021,A-bu-DU10,OS_000021,PN,,
171508,L2703300,s.,3,geme2 A-bu-ni,A-bu-ni,OV_000022,A-bu-ni,OS_000022,PN,Seal Legend,
163665,L2712220,s.,3,geme2 A-bu-ni,A-bu-ni,OV_000022,A-bu-ni,OS_000022,PN,Seal Legend,
163976,L2716120,s.,3,geme2 A-bu-ni,A-bu-ni,OV_000022,A-bu-ni,OS_000022,PN,Seal Legend,
162942,L2705949,s.,3,geme2 A-bu-ni,A-bu-ni,OV_000022,A-bu-ni,OS_000022,PN,Seal Legend,
163960,L2716042,s.,3,geme2 A-bu-ni,A-bu-ni,OV_000022,A-bu-ni,OS_000022,PN,Seal Legend,
